HOME;AWAY
Criciuma;Botafogo RJ
Gremio;Internacional
Cuiaba;Atletico GO
Vasco;Sao Paulo
Athletico-PR;Corinthians
Bahia;Cruzeiro
Fluminense;Flamengo RJ
Atletico-MG;Fortaleza
Bragantino;Vitoria
Palmeiras;Juventude
