HOME;AWAY
Incheon;Gimcheon Sangmu
Suwon FC;Ulsan HD
Jeju Utd;Seoul
Daegu;Pohang
Daejeon;Jeonbuk
Gangwon;Gwangju FC
Daegu;Incheon
Gimcheon Sangmu;Suwon FC
Jeonbuk;Jeju Utd
Pohang;Gangwon
Seoul;Daejeon
Ulsan HD;Gwangju FC
