HOME;AWAY
Guarani;Sport Recife
Avai;Novorizontino
Amazonas;Vila Nova FC
Mirassol;CRB
Ponte Preta;Mirassol
Botafogo SP;Amazonas
Paysandu PA;Ceara
Novorizontino;Guarani
Sport Recife;America MG
CRB;Coritiba
Vila Nova FC;Avai
Chapecoense-SC;Brusque
