DATE;HOME;AWAY;FTHG;FTAG;DIFF
02/06/2024;AVS;Portimonense;2;1;1
25/05/2024;Portimonense;AVS;1;2;-1
18/05/2024;Braga;FC Porto;0;1;-1
18/05/2024;Moreirense;Estoril;2;1;1
18/05/2024;Sporting CP;Chaves;3;0;3
18/05/2024;Arouca;Vitoria Guimaraes;1;3;-2
18/05/2024;Boavista;Vizela;2;2;0
18/05/2024;Estrela;Gil Vicente;1;0;1
18/05/2024;SC Farense;Portimonense;1;3;-2
17/05/2024;Rio Ave;Benfica;1;1;0
17/05/2024;Famalicao;Casa Pia;1;2;-1
12/05/2024;FC Porto;Boavista;2;1;1
12/05/2024;Benfica;Arouca;5;0;5
12/05/2024;Casa Pia;Moreirense;0;1;-1
12/05/2024;Gil Vicente;SC Farense;2;0;2
11/05/2024;Vitoria Guimaraes;Braga;2;3;-1
11/05/2024;Estoril;Sporting CP;0;1;-1
11/05/2024;Portimonense;Rio Ave;2;2;0
11/05/2024;Vizela;Estrela;4;0;4
10/05/2024;Chaves;Famalicao;0;1;-1
05/05/2024;Famalicao;Benfica;2;0;2
05/05/2024;Arouca;Estrela;0;0;0
05/05/2024;Braga;Casa Pia;4;3;1
05/05/2024;SC Farense;Estoril;3;2;1
04/05/2024;Chaves;FC Porto;0;3;-3
04/05/2024;Sporting CP;Portimonense;3;0;3
04/05/2024;Boavista;Gil Vicente;1;1;0
04/05/2024;Rio Ave;Vitoria Guimaraes;2;1;1
03/05/2024;Moreirense;Vizela;1;0;1
29/04/2024;Estrela;SC Farense;0;3;-3
28/04/2024;FC Porto;Sporting CP;2;2;0
28/04/2024;Estoril;Famalicao;1;0;1
28/04/2024;Portimonense;Moreirense;0;2;-2
27/04/2024;Vitoria Guimaraes;Boavista;1;0;1
27/04/2024;Benfica;Braga;3;1;2
27/04/2024;Casa Pia;Chaves;3;1;2
27/04/2024;Vizela;Rio Ave;1;1;0
26/04/2024;Gil Vicente;Arouca;2;2;0
22/04/2024;SC Farense;Benfica;1;3;-2
21/04/2024;Sporting CP;Vitoria Guimaraes;3;0;3
21/04/2024;Casa Pia;FC Porto;1;2;-1
21/04/2024;Chaves;Estoril;2;2;0
21/04/2024;Famalicao;Portimonense;2;2;0
20/04/2024;Braga;Vizela;2;1;1
20/04/2024;Boavista;Estrela;1;1;0
20/04/2024;Moreirense;Gil Vicente;0;1;-1
19/04/2024;Rio Ave;Arouca;1;1;0
16/04/2024;Famalicao;Sporting CP;0;1;-1
15/04/2024;Vizela;Chaves;0;1;-1
14/04/2024;Benfica;Moreirense;3;0;3
14/04/2024;Arouca;Boavista;2;1;1
14/04/2024;Portimonense;Casa Pia;2;2;0
14/04/2024;Estrela;Rio Ave;2;2;0
