DATE;HOME;AWAY;FTHG;FTAG;DIFF
17/06/2023;Levante;Alaves;0;1;-1
11/06/2023;Alaves;Levante;0;0;0
08/06/2023;Alaves;Eibar;2;0;2
07/06/2023;Levante;Albacete;3;0;3
03/06/2023;Albacete;Levante;1;3;-2
03/06/2023;Eibar;Alaves;1;1;0
28/05/2023;Gijon;Ponferradina;1;4;-3
28/05/2023;Racing Santander;FC Cartagena SAD;3;1;2
27/05/2023;Granada CF;Leganes;2;0;2
27/05/2023;Huesca;Eibar;0;1;-1
27/05/2023;Las Palmas;Alaves;0;0;0
27/05/2023;Levante;R. Oviedo;2;1;1
27/05/2023;Albacete;Mirandes;2;1;1
27/05/2023;Malaga;UD Ibiza;1;1;0
27/05/2023;Andorra;Villarreal B;4;3;1
27/05/2023;Burgos CF;Lugo;0;1;-1
26/05/2023;Zaragoza;Tenerife;1;1;0
21/05/2023;Leganes;Andorra;1;1;0
21/05/2023;R. Oviedo;Racing Santander;1;0;1
20/05/2023;Tenerife;Burgos CF;2;1;1
20/05/2023;Alaves;Malaga;2;1;1
20/05/2023;Eibar;Gijon;2;2;0
20/05/2023;FC Cartagena SAD;Las Palmas;1;4;-3
20/05/2023;Lugo;Huesca;1;2;-1
20/05/2023;Mirandes;Granada CF;1;3;-2
20/05/2023;Ponferradina;Albacete;1;1;0
20/05/2023;Villarreal B;Levante;2;3;-1
20/05/2023;UD Ibiza;Zaragoza;1;0;1
15/05/2023;Levante;UD Ibiza;0;0;0
14/05/2023;Las Palmas;Villarreal B;1;1;0
14/05/2023;Albacete;Alaves;1;1;0
14/05/2023;Huesca;Ponferradina;1;1;0
14/05/2023;Andorra;Tenerife;1;0;1
14/05/2023;Racing Santander;Eibar;1;0;1
13/05/2023;Malaga;Mirandes;2;0;2
13/05/2023;Granada CF;Lugo;2;0;2
13/05/2023;Zaragoza;FC Cartagena SAD;2;0;2
13/05/2023;Gijon;R. Oviedo;1;1;0
12/05/2023;Burgos CF;Leganes;0;3;-3
08/05/2023;Eibar;Las Palmas;0;1;-1
07/05/2023;FC Cartagena SAD;Burgos CF;0;0;0
07/05/2023;Lugo;Andorra;2;2;0
07/05/2023;R. Oviedo;Zaragoza;2;1;1
07/05/2023;Ponferradina;Malaga;2;0;2
07/05/2023;UD Ibiza;Albacete;0;5;-5
07/05/2023;Villarreal B;Gijon;2;0;2
06/05/2023;Leganes;Huesca;2;1;1
06/05/2023;Tenerife;Levante;1;0;1
06/05/2023;Mirandes;Racing Santander;1;1;0
05/05/2023;Alaves;Granada CF;1;1;0
01/05/2023;Burgos CF;Villarreal B;1;0;1
01/05/2023;Malaga;Huesca;0;0;0
01/05/2023;Gijon;Lugo;3;1;2
30/04/2023;Zaragoza;Las Palmas;1;1;0
30/04/2023;Granada CF;Eibar;1;1;0
30/04/2023;R. Oviedo;Ponferradina;3;2;1
30/04/2023;Andorra;Mirandes;0;1;-1
29/04/2023;Tenerife;Leganes;1;0;1
29/04/2023;Albacete;FC Cartagena SAD;1;1;0
29/04/2023;Levante;Alaves;2;0;2
28/04/2023;Racing Santander;UD Ibiza;1;0;1
24/04/2023;Huesca;Tenerife;1;1;0
23/04/2023;Alaves;Leganes;2;1;1
23/04/2023;Mirandes;Burgos CF;2;1;1
23/04/2023;Racing Santander;Granada CF;1;0;1
23/04/2023;Lugo;Malaga;0;2;-2
22/04/2023;UD Ibiza;R. Oviedo;1;2;-1
22/04/2023;Las Palmas;Levante;0;0;0
22/04/2023;FC Cartagena SAD;Gijon;2;1;1
22/04/2023;Ponferradina;Andorra;1;4;-3
22/04/2023;Villarreal B;Albacete;1;2;-1
21/04/2023;Eibar;Zaragoza;1;1;0
17/04/2023;Levante;Mirandes;1;2;-1
16/04/2023;Leganes;Villarreal B;1;0;1
16/04/2023;Malaga;FC Cartagena SAD;1;0;1
16/04/2023;Tenerife;UD Ibiza;4;0;4
16/04/2023;Gijon;Alaves;0;0;0
16/04/2023;Andorra;Huesca;1;0;1
15/04/2023;Burgos CF;Ponferradina;2;2;0
15/04/2023;R. Oviedo;Lugo;2;1;1
15/04/2023;Zaragoza;Racing Santander;4;1;3
15/04/2023;Granada CF;Las Palmas;2;1;1
14/04/2023;Albacete;Eibar;3;1;2
10/04/2023;Alaves;Andorra;0;0;0
09/04/2023;Las Palmas;R. Oviedo;0;1;-1
