DATE;HOME;AWAY;FTHG;FTAG;DIFF
15/12/2023;Dender;RFC Liege;0;0;0
15/12/2023;Waregem;Seraing;2;1;1
10/12/2023;Oostende;Beveren;0;2;-2
10/12/2023;RFC Liege;Francs Borains;1;0;1
10/12/2023;Beerschot VA;Deinze;1;2;-1
09/12/2023;Club Brugge KV U23;Anderlecht U23;0;1;-1
09/12/2023;Lierse K.;Waregem;0;1;-1
09/12/2023;St. Liege U23;Dender;0;4;-4
08/12/2023;Genk U23;Patro Eisden;0;1;-1
08/12/2023;Seraing;Lommel SK;2;2;0
05/12/2023;Dender;Francs Borains;2;0;2
05/12/2023;St. Liege U23;Beerschot VA;1;0;1
03/12/2023;RFC Liege;Seraing;2;1;1
03/12/2023;Oostende;Lierse K.;0;1;-1
02/12/2023;Anderlecht U23;Beveren;0;2;-2
02/12/2023;Deinze;Club Brugge KV U23;1;3;-2
02/12/2023;St. Liege U23;Waregem;1;3;-2
01/12/2023;Lommel SK;Genk U23;0;1;-1
01/12/2023;Patro Eisden;Beerschot VA;0;2;-2
26/11/2023;Lierse K.;St. Liege U23;1;4;-3
26/11/2023;Beerschot VA;RFC Liege;3;0;3
26/11/2023;Genk U23;Seraing;1;1;0
25/11/2023;Francs Borains;Deinze;0;1;-1
25/11/2023;Waregem;Anderlecht U23;2;5;-3
25/11/2023;Club Brugge KV U23;Oostende;3;3;0
24/11/2023;Beveren;Dender;3;2;1
24/11/2023;Lommel SK;Patro Eisden;1;2;-1
12/11/2023;Patro Eisden;Waregem;0;3;-3
12/11/2023;Beveren;Lommel SK;2;2;0
12/11/2023;RFC Liege;Lierse K.;2;4;-2
11/11/2023;Anderlecht U23;Deinze;1;3;-2
11/11/2023;Oostende;Francs Borains;1;0;1
11/11/2023;Seraing;Beerschot VA;1;2;-1
10/11/2023;Dender;Club Brugge KV U23;2;0;2
10/11/2023;St. Liege U23;Genk U23;3;1;2
05/11/2023;Club Brugge KV U23;Beerschot VA;0;2;-2
05/11/2023;Patro Eisden;Seraing;2;1;1
05/11/2023;Deinze;Dender;1;1;0
04/11/2023;Francs Borains;St. Liege U23;2;1;1
04/11/2023;Lierse K.;Beveren;2;2;0
04/11/2023;Anderlecht U23;Lommel SK;1;1;0
03/11/2023;Genk U23;RFC Liege;2;3;-1
03/11/2023;Waregem;Oostende;0;1;-1
29/10/2023;RFC Liege;Anderlecht U23;0;2;-2
29/10/2023;St. Liege U23;Deinze;2;1;1
29/10/2023;Beerschot VA;Dender;0;1;-1
28/10/2023;Beveren;Francs Borains;3;0;3
28/10/2023;Genk U23;Lierse K.;1;3;-2
28/10/2023;Seraing;Club Brugge KV U23;2;1;1
27/10/2023;Lommel SK;Waregem;1;1;0
27/10/2023;Oostende;Patro Eisden;0;0;0
22/10/2023;Francs Borains;Patro Eisden;0;0;0
22/10/2023;Club Brugge KV U23;Beveren;0;3;-3
22/10/2023;Dender;Oostende;1;1;0
21/10/2023;Lierse K.;Seraing;1;0;1
21/10/2023;Waregem;RFC Liege;1;0;1
21/10/2023;Anderlecht U23;St. Liege U23;3;0;3
20/10/2023;Beerschot VA;Lommel SK;2;1;1
20/10/2023;Deinze;Genk U23;3;2;1
08/10/2023;Lierse K.;Deinze;0;1;-1
08/10/2023;Oostende;Anderlecht U23;1;2;-1
08/10/2023;Beveren;Waregem;0;3;-3
07/10/2023;Club Brugge KV U23;Francs Borains;1;0;1
07/10/2023;Patro Eisden;RFC Liege;0;2;-2
07/10/2023;Genk U23;Beerschot VA;1;2;-1
06/10/2023;Lommel SK;St. Liege U23;1;0;1
06/10/2023;Seraing;Dender;1;3;-2
01/10/2023;Dender;Genk U23;1;3;-2
01/10/2023;RFC Liege;Lommel SK;2;1;1
01/10/2023;Waregem;Club Brugge KV U23;0;1;-1
30/09/2023;Anderlecht U23;Lierse K.;3;3;0
30/09/2023;Francs Borains;Seraing;0;2;-2
30/09/2023;Beerschot VA;Oostende;1;1;0
29/09/2023;Deinze;Beveren;0;0;0
29/09/2023;St. Liege U23;Patro Eisden;0;1;-1
24/09/2023;Lierse K.;Beerschot VA;1;3;-2
24/09/2023;Beveren;RFC Liege;1;2;-1
