DATE;HOME;AWAY;FTHG;FTAG;DIFF
13/05/2023;Beveren;Club Brugge KV U23;4;1;3
13/05/2023;RWDM;Anderlecht U23;1;0;1
13/05/2023;Beerschot VA;Lierse K.;1;2;-1
12/05/2023;Deinze;Dender;3;2;1
12/05/2023;Lommel SK;St. Liege U23;6;1;5
12/05/2023;Virton;Genk U23;3;1;2
07/05/2023;Lierse K.;Beveren;2;3;-1
06/05/2023;Club Brugge KV U23;RWDM;1;3;-2
06/05/2023;Dender;Lommel SK;2;1;1
06/05/2023;Genk U23;Deinze;0;2;-2
05/05/2023;Anderlecht U23;Beerschot VA;0;2;-2
05/05/2023;St. Liege U23;Virton;1;1;0
22/04/2023;Beveren;Beerschot VA;3;0;3
22/04/2023;Lierse K.;RWDM;0;3;-3
22/04/2023;Deinze;Virton;3;1;2
21/04/2023;Club Brugge KV U23;Anderlecht U23;0;0;0
21/04/2023;Dender;St. Liege U23;0;0;0
21/04/2023;Genk U23;Lommel SK;2;3;-1
16/04/2023;Virton;Dender;0;1;-1
16/04/2023;RWDM;Beveren;1;1;0
15/04/2023;Anderlecht U23;Lierse K.;2;2;0
15/04/2023;St. Liege U23;Genk U23;0;0;0
14/04/2023;Beerschot VA;Club Brugge KV U23;4;0;4
14/04/2023;Lommel SK;Deinze;4;1;3
09/04/2023;RWDM;Beerschot VA;4;0;4
09/04/2023;Virton;Lommel SK;0;1;-1
08/04/2023;Beveren;Anderlecht U23;4;1;3
08/04/2023;Club Brugge KV U23;Lierse K.;0;1;-1
07/04/2023;Genk U23;Dender;0;4;-4
07/04/2023;St. Liege U23;Deinze;1;2;-1
02/04/2023;Beerschot VA;RWDM;1;1;0
02/04/2023;Lommel SK;Virton;1;2;-1
01/04/2023;Lierse K.;Club Brugge KV U23;1;2;-1
01/04/2023;Deinze;St. Liege U23;5;0;5
31/03/2023;Anderlecht U23;Beveren;0;4;-4
31/03/2023;Dender;Genk U23;1;0;1
19/03/2023;St. Liege U23;Dender;1;1;0
19/03/2023;Club Brugge KV U23;Beerschot VA;2;1;1
18/03/2023;Anderlecht U23;RWDM;0;4;-4
18/03/2023;Deinze;Lommel SK;1;1;0
17/03/2023;Beveren;Lierse K.;2;0;2
17/03/2023;Genk U23;Virton;1;1;0
12/03/2023;Lommel SK;Genk U23;2;0;2
12/03/2023;RWDM;Club Brugge KV U23;3;2;1
11/03/2023;Lierse K.;Anderlecht U23;2;0;2
11/03/2023;Virton;St. Liege U23;1;0;1
10/03/2023;Beerschot VA;Beveren;0;1;-1
10/03/2023;Dender;Deinze;1;0;1
05/03/2023;Genk U23;St. Liege U23;1;1;0
05/03/2023;Lierse K.;Beerschot VA;0;1;-1
04/03/2023;Beveren;RWDM;2;1;1
04/03/2023;Virton;Deinze;1;2;-1
03/03/2023;Anderlecht U23;Club Brugge KV U23;1;2;-1
03/03/2023;Lommel SK;Dender;1;0;1
26/02/2023;RWDM;Lierse K.;3;1;2
26/02/2023;Beerschot VA;Anderlecht U23;0;0;0
25/02/2023;Club Brugge KV U23;Beveren;3;0;3
25/02/2023;Deinze;Genk U23;1;3;-2
24/02/2023;Dender;Virton;2;1;1
24/02/2023;St. Liege U23;Lommel SK;1;0;1
19/02/2023;Genk U23;St. Liege U23;2;2;0
12/02/2023;Beerschot VA;RWDM;0;1;-1
12/02/2023;Virton;Genk U23;0;1;-1
11/02/2023;Deinze;Anderlecht U23;2;3;-1
11/02/2023;Lommel SK;Lierse K.;0;2;-2
11/02/2023;St. Liege U23;Club Brugge KV U23;0;0;0
11/02/2023;Beveren;Dender;5;2;3
05/02/2023;Dender;Deinze;0;1;-1
05/02/2023;Club Brugge KV U23;Virton;1;0;1
04/02/2023;Lierse K.;Beerschot VA;1;0;1
04/02/2023;RWDM;St. Liege U23;3;1;2
03/02/2023;Anderlecht U23;Lommel SK;2;2;0
03/02/2023;Genk U23;Beveren;2;2;0
01/02/2023;Club Brugge KV U23;Lierse K.;1;0;1
29/01/2023;St. Liege U23;Beveren;2;2;0
29/01/2023;Lierse K.;RWDM;1;2;-1
28/01/2023;Lommel SK;Dender;1;1;0
28/01/2023;Virton;Anderlecht U23;1;3;-2
27/01/2023;Beerschot VA;Genk U23;3;2;1
27/01/2023;Deinze;Club Brugge KV U23;2;1;1
24/01/2023;Dender;Genk U23;0;1;-1
22/01/2023;Anderlecht U23;Lierse K.;3;3;0
22/01/2023;Beveren;Beerschot VA;2;0;2
21/01/2023;Dender;Virton;3;4;-1
21/01/2023;RWDM;Deinze;2;1;1
20/01/2023;Club Brugge KV U23;Lommel SK;2;1;1
