DATE;HOME;AWAY;FTHG;FTAG;DIFF
04/06/2023;Admira;Vorwarts Steyr;3;0;3
04/06/2023;Amstetten;Horn;2;2;0
04/06/2023;BW Linz;Sturm Graz (Am);2;1;1
04/06/2023;Dornbirn;Grazer AK;1;1;0
04/06/2023;First Vienna;Lafnitz;1;2;-1
04/06/2023;Kapfenberg;Floridsdorfer AC;0;3;-3
04/06/2023;Liefering;Austria Vienna (Am);5;0;5
04/06/2023;St. Polten;SK Rapid (Am);1;0;1
26/05/2023;Austria Vienna (Am);Admira;0;0;0
26/05/2023;Floridsdorfer AC;St. Polten;2;1;1
26/05/2023;Grazer AK;Amstetten;3;0;3
26/05/2023;Horn;Dornbirn;0;2;-2
26/05/2023;Lafnitz;Kapfenberg;3;1;2
26/05/2023;SK Rapid (Am);BW Linz;0;1;-1
26/05/2023;Sturm Graz (Am);Liefering;4;2;2
26/05/2023;Vorwarts Steyr;First Vienna;1;0;1
21/05/2023;Sturm Graz (Am);Vorwarts Steyr;2;0;2
21/05/2023;Kapfenberg;St. Polten;2;1;1
20/05/2023;Grazer AK;SK Rapid (Am);2;0;2
19/05/2023;Admira;First Vienna;0;1;-1
19/05/2023;Amstetten;Austria Vienna (Am);2;2;0
19/05/2023;BW Linz;Horn;0;1;-1
19/05/2023;Dornbirn;Floridsdorfer AC;0;0;0
19/05/2023;Liefering;Lafnitz;3;1;2
14/05/2023;Floridsdorfer AC;Grazer AK;1;2;-1
13/05/2023;Dornbirn;Admira;1;2;-1
13/05/2023;SK Rapid (Am);Liefering;0;0;0
12/05/2023;St. Polten;BW Linz;0;2;-2
12/05/2023;First Vienna;Sturm Graz (Am);1;0;1
12/05/2023;Horn;Kapfenberg;0;0;0
12/05/2023;Lafnitz;Amstetten;2;3;-1
12/05/2023;Vorwarts Steyr;Austria Vienna (Am);2;0;2
07/05/2023;St. Polten;Vorwarts Steyr;1;1;0
07/05/2023;Sturm Graz (Am);Admira;2;5;-3
06/05/2023;Kapfenberg;Dornbirn;2;1;1
05/05/2023;Liefering;Grazer AK;0;2;-2
05/05/2023;Amstetten;First Vienna;0;4;-4
05/05/2023;Austria Vienna (Am);Lafnitz;1;0;1
05/05/2023;BW Linz;Floridsdorfer AC;1;1;0
05/05/2023;Horn;SK Rapid (Am);3;0;3
30/04/2023;Vorwarts Steyr;Liefering;2;0;2
29/04/2023;Dornbirn;St. Polten;0;3;-3
28/04/2023;Grazer AK;BW Linz;0;3;-3
28/04/2023;Admira;Amstetten;0;1;-1
28/04/2023;Austria Vienna (Am);Sturm Graz (Am);0;1;-1
28/04/2023;First Vienna;Horn;0;0;0
28/04/2023;Floridsdorfer AC;Lafnitz;4;3;1
28/04/2023;SK Rapid (Am);Kapfenberg;2;2;0
25/04/2023;Vorwarts Steyr;Amstetten;2;3;-1
23/04/2023;Lafnitz;Grazer AK;2;3;-1
22/04/2023;BW Linz;Dornbirn;1;0;1
21/04/2023;St. Polten;Admira;2;0;2
21/04/2023;Amstetten;Sturm Graz (Am);5;0;5
21/04/2023;Floridsdorfer AC;Liefering;3;1;2
21/04/2023;Horn;Austria Vienna (Am);1;2;-1
21/04/2023;Kapfenberg;First Vienna;3;0;3
21/04/2023;SK Rapid (Am);Vorwarts Steyr;2;1;1
18/04/2023;Admira;Kapfenberg;0;2;-2
16/04/2023;First Vienna;Floridsdorfer AC;0;3;-3
16/04/2023;Sturm Graz (Am);Horn;2;2;0
15/04/2023;Austria Vienna (Am);Dornbirn;2;3;-1
14/04/2023;Grazer AK;St. Polten;0;0;0
14/04/2023;Lafnitz;SK Rapid (Am);2;0;2
14/04/2023;Liefering;BW Linz;2;2;0
09/04/2023;Dornbirn;Liefering;0;2;-2
08/04/2023;BW Linz;Admira;3;1;2
08/04/2023;Grazer AK;Vorwarts Steyr;3;2;1
07/04/2023;Floridsdorfer AC;Austria Vienna (Am);1;2;-1
07/04/2023;Horn;Lafnitz;1;2;-1
07/04/2023;Kapfenberg;Amstetten;1;1;0
07/04/2023;SK Rapid (Am);Sturm Graz (Am);0;4;-4
07/04/2023;St. Polten;First Vienna;3;1;2
02/04/2023;Admira;Horn;0;0;0
01/04/2023;First Vienna;Dornbirn;3;2;1
01/04/2023;Liefering;Kapfenberg;1;3;-2
31/03/2023;Lafnitz;St. Polten;2;2;0
31/03/2023;Amstetten;SK Rapid (Am);0;0;0
31/03/2023;Austria Vienna (Am);BW Linz;2;1;1
31/03/2023;Sturm Graz (Am);Grazer AK;2;3;-1
31/03/2023;Vorwarts Steyr;Floridsdorfer AC;1;0;1
19/03/2023;BW Linz;Amstetten;2;1;1
18/03/2023;Dornbirn;Lafnitz;2;1;1
18/03/2023;Grazer AK;Austria Vienna (Am);3;0;3
18/03/2023;SK Rapid (Am);First Vienna;2;2;0
17/03/2023;Floridsdorfer AC;Admira;0;0;0
17/03/2023;Horn;Vorwarts Steyr;2;2;0
17/03/2023;Kapfenberg;Sturm Graz (Am);3;1;2
17/03/2023;St. Polten;Liefering;2;0;2
12/03/2023;Sturm Graz (Am);Dornbirn;0;4;-4
12/03/2023;Admira;SK Rapid (Am);3;1;2
10/03/2023;First Vienna;Grazer AK;0;2;-2
10/03/2023;Amstetten;Floridsdorfer AC;1;0;1
10/03/2023;Austria Vienna (Am);St. Polten;0;2;-2
10/03/2023;Lafnitz;BW Linz;1;1;0
10/03/2023;Liefering;Horn;3;1;2
10/03/2023;Vorwarts Steyr;Kapfenberg;1;1;0
05/03/2023;Liefering;Amstetten;4;0;4
05/03/2023;Grazer AK;Admira;1;0;1
04/03/2023;Dornbirn;SK Rapid (Am);1;2;-1
04/03/2023;BW Linz;Kapfenberg;2;0;2
03/03/2023;St. Polten;Horn;0;2;-2
03/03/2023;Austria Vienna (Am);First Vienna;0;2;-2
03/03/2023;Floridsdorfer AC;Sturm Graz (Am);0;1;-1
03/03/2023;Lafnitz;Vorwarts Steyr;1;1;0
26/02/2023;Sturm Graz (Am);St. Polten;0;2;-2
25/02/2023;Amstetten;Dornbirn;3;3;0
25/02/2023;Kapfenberg;Austria Vienna (Am);4;2;2
24/02/2023;Vorwarts Steyr;BW Linz;0;4;-4
24/02/2023;Admira;Lafnitz;1;2;-1
24/02/2023;First Vienna;Liefering;0;2;-2
24/02/2023;Horn;Grazer AK;2;1;1
24/02/2023;SK Rapid (Am);Floridsdorfer AC;1;0;1
13/11/2022;SK Rapid (Am);Austria Vienna (Am);2;0;2
12/11/2022;BW Linz;First Vienna;3;0;3
12/11/2022;Grazer AK;Kapfenberg;3;1;2
11/11/2022;Amstetten;St. Polten;0;4;-4
11/11/2022;Dornbirn;Vorwarts Steyr;0;2;-2
11/11/2022;Floridsdorfer AC;Horn;2;1;1
11/11/2022;Lafnitz;Sturm Graz (Am);5;1;4
11/11/2022;Liefering;Admira;1;0;1
06/11/2022;Horn;Amstetten;2;1;1
05/11/2022;Grazer AK;Dornbirn;2;0;2
05/11/2022;Kapfenberg;Liefering;3;2;1
05/11/2022;Vorwarts Steyr;Sturm Graz (Am);1;3;-2
04/11/2022;Admira;BW Linz;0;4;-4
04/11/2022;Austria Vienna (Am);Floridsdorfer AC;0;0;0
04/11/2022;First Vienna;SK Rapid (Am);2;2;0
04/11/2022;St. Polten;Lafnitz;2;1;1
30/10/2022;Sturm Graz (Am);Kapfenberg;0;1;-1
30/10/2022;Lafnitz;Horn;1;1;0
29/10/2022;BW Linz;Liefering;4;0;4
29/10/2022;Floridsdorfer AC;Dornbirn;0;3;-3
29/10/2022;SK Rapid (Am);Admira;2;1;1
28/10/2022;Amstetten;Grazer AK;2;2;0
28/10/2022;First Vienna;Vorwarts Steyr;4;0;4
28/10/2022;St. Polten;Austria Vienna (Am);5;0;5
23/10/2022;Admira;Floridsdorfer AC;1;1;0
23/10/2022;Grazer AK;First Vienna;1;0;1
22/10/2022;Dornbirn;Sturm Graz (Am);3;1;2
22/10/2022;Horn;St. Polten;0;1;-1
22/10/2022;Kapfenberg;BW Linz;2;4;-2
21/10/2022;Vorwarts Steyr;Lafnitz;2;1;1
21/10/2022;Austria Vienna (Am);Amstetten;1;5;-4
21/10/2022;Liefering;SK Rapid (Am);6;1;5
16/10/2022;First Vienna;Austria Vienna (Am);0;1;-1
16/10/2022;Sturm Graz (Am);Amstetten;3;1;2
15/10/2022;Admira;Dornbirn;1;0;1
15/10/2022;BW Linz;Vorwarts Steyr;4;1;3
15/10/2022;Lafnitz;Liefering;0;3;-3
14/10/2022;SK Rapid (Am);Horn;0;1;-1
14/10/2022;Floridsdorfer AC;Kapfenberg;1;1;0
14/10/2022;St. Polten;Grazer AK;0;0;0
