DATE;HOME;AWAY;FTHG;FTAG;DIFF
11/06/2023;Austria Vienna;A. Lustenau;5;0;5
08/06/2023;A. Lustenau;Austria Vienna;1;1;0
05/06/2023;Wolfsberger AC;A. Lustenau;1;2;-1
03/06/2023;A. Klagenfurt;SK Rapid;2;1;1
03/06/2023;Austria Vienna;Salzburg;1;1;0
03/06/2023;Sturm Graz;LASK;2;0;2
02/06/2023;A. Lustenau;Hartberg;5;1;4
02/06/2023;Ried;Wolfsberger AC;1;2;-1
02/06/2023;Tirol;Altach;1;1;0
28/05/2023;LASK;Austria Vienna;3;1;2
28/05/2023;Salzburg;A. Klagenfurt;3;2;1
28/05/2023;SK Rapid;Sturm Graz;3;2;1
27/05/2023;Altach;A. Lustenau;1;1;0
27/05/2023;Hartberg;Ried;2;0;2
27/05/2023;Wolfsberger AC;Tirol;2;0;2
21/05/2023;Salzburg;Sturm Graz;2;1;1
21/05/2023;A. Klagenfurt;Austria Vienna;1;1;0
21/05/2023;SK Rapid;LASK;1;1;0
20/05/2023;A. Lustenau;Tirol;2;4;-2
20/05/2023;Hartberg;Wolfsberger AC;0;2;-2
19/05/2023;Ried;Altach;0;1;-1
14/05/2023;Austria Vienna;SK Rapid;3;1;2
14/05/2023;LASK;Salzburg;0;1;-1
14/05/2023;Sturm Graz;A. Klagenfurt;4;1;3
13/05/2023;Altach;Hartberg;0;1;-1
13/05/2023;Wolfsberger AC;A. Lustenau;2;2;0
12/05/2023;Tirol;Ried;1;1;0
07/05/2023;Salzburg;SK Rapid;2;1;1
07/05/2023;A. Klagenfurt;LASK;1;1;0
07/05/2023;Austria Vienna;Sturm Graz;1;2;-1
06/05/2023;A. Lustenau;Ried;2;2;0
06/05/2023;Hartberg;Tirol;5;0;5
05/05/2023;Wolfsberger AC;Altach;0;0;0
30/04/2023;LASK;A. Klagenfurt;4;0;4
29/04/2023;Ried;A. Lustenau;4;4;0
29/04/2023;Tirol;Hartberg;1;1;0
28/04/2023;Altach;Wolfsberger AC;0;2;-2
26/04/2023;SK Rapid;Salzburg;1;1;0
26/04/2023;Sturm Graz;Austria Vienna;3;2;1
23/04/2023;Sturm Graz;Salzburg;0;2;-2
23/04/2023;Austria Vienna;A. Klagenfurt;1;2;-1
23/04/2023;LASK;SK Rapid;3;1;2
22/04/2023;Altach;Ried;1;1;0
22/04/2023;Tirol;A. Lustenau;0;2;-2
21/04/2023;Wolfsberger AC;Hartberg;2;2;0
16/04/2023;SK Rapid;Austria Vienna;3;3;0
16/04/2023;A. Klagenfurt;Sturm Graz;0;2;-2
16/04/2023;Salzburg;LASK;0;0;0
15/04/2023;A. Lustenau;Wolfsberger AC;1;3;-2
15/04/2023;Hartberg;Altach;2;2;0
14/04/2023;Ried;Tirol;1;1;0
09/04/2023;LASK;Sturm Graz;2;1;1
09/04/2023;Salzburg;Austria Vienna;3;3;0
09/04/2023;SK Rapid;A. Klagenfurt;3;1;2
08/04/2023;A. Lustenau;Altach;1;0;1
08/04/2023;Ried;Hartberg;1;3;-2
07/04/2023;Tirol;Wolfsberger AC;4;0;4
02/04/2023;Sturm Graz;SK Rapid;3;1;2
02/04/2023;A. Klagenfurt;Salzburg;0;3;-3
02/04/2023;Austria Vienna;LASK;2;2;0
01/04/2023;Altach;Tirol;1;0;1
01/04/2023;Wolfsberger AC;Ried;1;0;1
31/03/2023;Hartberg;A. Lustenau;0;1;-1
19/03/2023;A. Lustenau;A. Klagenfurt;4;2;2
19/03/2023;Austria Vienna;SK Rapid;2;0;2
19/03/2023;Hartberg;LASK;2;2;0
19/03/2023;Ried;Wolfsberger AC;0;0;0
19/03/2023;Salzburg;Altach;1;1;0
19/03/2023;Tirol;Sturm Graz;0;2;-2
12/03/2023;A. Klagenfurt;Hartberg;1;0;1
12/03/2023;Altach;Ried;1;2;-1
12/03/2023;LASK;Salzburg;0;2;-2
12/03/2023;SK Rapid;Tirol;2;0;2
12/03/2023;Sturm Graz;Austria Vienna;3;1;2
12/03/2023;Wolfsberger AC;A. Lustenau;0;1;-1
05/03/2023;SK Rapid;Salzburg;2;4;-2
05/03/2023;A. Klagenfurt;Altach;3;0;3
05/03/2023;Tirol;LASK;2;3;-1
04/03/2023;A. Lustenau;Sturm Graz;0;2;-2
04/03/2023;Hartberg;Wolfsberger AC;2;1;1
04/03/2023;Ried;Austria Vienna;1;3;-2
26/02/2023;Salzburg;Ried;2;0;2
26/02/2023;Altach;Tirol;0;0;0
26/02/2023;Wolfsberger AC;SK Rapid;1;2;-1
